model,overall_macro_f1_mean,overall_macro_f1_std,lgbt_mean,lgbt_std,obesity_mean,obesity_std,racism_mean,racism_std
GPT-4.1-mini,0.736298510086582,0.0,0.806201550387597,0.0,0.6036324786324787,0.0,0.7337713832559194,0.0
GPT-4o-mini,0.6793506851374032,0.0,0.75997599759976,0.0,0.5660377358490566,0.0,0.6211474632527264,0.0
BETO,0.6157372940282005,0.011752993971213247,0.6607862399212933,0.010941896136184705,0.5259695391347253,0.024451590699777925,0.6154866779463999,0.011809483435328923
Qwen2.5-7B,0.6117570670254566,0.0,0.73786332913572,0.0,0.44997924449979243,0.0,0.4788306451612903,0.0
RoBERTuito,0.6107147737532185,0.006630033222567996,0.6759627569652595,0.010471698136136201,0.47980366780033107,0.0034595027862492633,0.5962253981656703,0.016416250546000925
SVM,0.5667311411992263,0.0,0.5953937130407718,0.0,0.47997502452947993,0.0,0.5941778709757,0.0
