secondary_error_phenomenon,n_instances,percentage_of_all_instances,percentage_of_instances_with_secondary
mixed_or_contrastive_communicative_stance,4,25.0,33.33333333333333
implicit_supportive_intent,2,12.5,16.666666666666664
counter_speech_or_prejudice_rebuttal,2,12.5,16.666666666666664
figurative_or_ironic_language,1,6.25,8.333333333333332
informational_supportive_content,1,6.25,8.333333333333332
lexical_cue_mismatch,1,6.25,8.333333333333332
quoted_or_attributed_supportive_content,1,6.25,8.333333333333332
