model,macro_f1,bootstrap_mean,ci_95_lower,ci_95_upper,n_bootstraps,random_seed
GPT-4.1-mini,0.736298510086582,0.7360231271725153,0.6927735626315088,0.7774874836709564,10000,42
GPT-4o-mini,0.6793506851374032,0.6787986681080742,0.6336812525090325,0.7247522770493444,10000,42
RoBERTuito,0.6225324987963409,0.6217650983996741,0.5733333333333334,0.6696158504720029,10000,42
BETO,0.6176105828854899,0.6170090668722642,0.5681155484867881,0.6653279785809907,10000,42
Qwen2.5-7B,0.6117570670254566,0.6110145133923975,0.5618719022974342,0.6598975738042039,10000,42
SVM,0.5667311411992263,0.5661549970713565,0.5175291163268938,0.6157540826128722,10000,42
